feature	coef
fetacheese	0.0035054875082005865
filling	-0.028896101702590174
fingerfood	-0.03279454059440799
flaky	0.020846225937294075
french	0.03915570694613628
frenchcuisine	0.1179319830539139
frenchpastry	0.04107633967492194
fresh	0.022606429499071032
fried	-0.032203564950212295
friedfood	-0.03247158187188006
friedrice	-0.000655100690342638
fries	-0.031291433141145436
frosting	0.08366931944186429
fruit	-0.08695601396903027
fudgy	0.0722345383277655
gamedayfood	0.026442661595035583
ganache	-0.00759660157822894
garlic	-0.003529189809211731
ginger	-0.014802016807389592
glutenfree	0.11233365429145584
goldenbrown	0.023847895236854405
greenbeans	-0.07440163692796496
greenonion	0.011272826998177861
greenonions	-0.0017746602072288458
grill	-0.023506943470493098
grilled	0.054035571127145854
grilling	0.016327262978579823
groundbeef	-0.02819599778842334
gruyere	0.0765927955209506
gruyerecheese	0.04036781557005544
guacamole	0.0808764656288364
hamandcheese	-0.03382825214037466
hamburger	0.005761908026367222
handheld	-0.028241001012247535
handtorndough	0.009015250503578086
hawaii	0.005761908026367222
hawaiian	0.0017526184499268376
healthy	-0.0012854369218158225
herbs	-0.019204647877006403
holiday	-0.013756228621232165
homemade	0.12025964230627034
indulgent	0.05169957156449496
italian	0.004688772950912376
italiancuisine	0.0008937186943192633
jalapenos	-0.031291433141145436
japanesecuisine	0.06036377967466589
juicy	0.08206841447246829
ketchup	0.005761908026367222
keto	0.07569049019594098
kidfriendly	-0.03279454059440799
koreancuisine	0.009015250503578086
laminateddough	0.010093698718233802
lasagna	-0.002232014681110208
lattice	-0.10259196375536174
lettuce	-0.06999543239063657
lime	0.06701083474421518
loadednachos	0.05773409473618102
lowcarb	0.07569049019594098
lunch	0.010622923204232871
macandcheese	0.02026580002487935
maple	-0.007591227890196756
maplesyrup	0.025363081462725753
masa	-0.022541929230560843
mayonnaise	0.005761908026367222
meal	-0.005170932382171526
mealprep	0.022022860445974467
meat	0.042567068806184015
meatsauce	0.002026140263583664
mexican	0.14484210865018637
mexicancuisine	0.017195335466947133
mexicanfood	0.05773409473618102
middleeastern	0.006896637521967412
miso	-0.0028810427024150665
muffins	0.022022860445974467
mushroom	0.01583932237993539
mushrooms	-0.0028810427024150665
nachos	0.17331958231236158
noodles	-0.036463402641886015
noodlesoup	-0.0028810427024150665
nori	0.0017526184499268376
numbing	-0.0149462351616362
nutmeg	-0.08551775766049327
oat	0.06464620068383407
oats	-0.048652621224993524
onion	0.031280588552292134
onions	0.0050706002886195395
onthego	0.0017526184499268376
oven	0.037442346284836385
oysters	-0.029872803161105445
pacificislands	0.005761908026367222
pancakes	0.025363081462725753
parmesan	0.0765927955209506
partyfood	0.12164158261306546
pasta	0.02382215140652733
pastasauce	0.002026140263583664
pastry	0.013540886184372075
pastrycrust	0.029089791675479933
peach	0.08194051337040986
peanutbutter	0.09432590206765394
peanutdressing	0.09140962682790661
peanuts	0.006814518168824661
peppers	0.049782723308141645
pickledvegetables	-0.17649590841798934
pie	-0.03704665271812704
piecrust	0.0035054875082005865
pork	0.006814518168824661
porkbelly	-0.0028810427024150665
potatoes	0.0011063824951862207
protein	0.022022860445974467
puffpastry	0.037442346284836385
quiche	-0.0837220875040223
quick	-0.009220719470659444
ramen	-0.0028810427024150665
refreshing	-0.0010806266360279132
relish	0.004392850304664338
rhubarb	-0.0010806266360279132
rice	0.0017526184499268376
ricevinegar	0.011272826998177861
rich	0.07088217330455172
ricotta	-0.007687031860789355
salad	0.09257997157419104
salsa	-0.008751777334000517
salty	0.02026580002487935
sandwich	0.014550812314616475
sauce	0.004392850304664339
savory	-0.020974891968988853
scallions	-0.007987498638564931
scallops	0.04827366310077863
seafood	0.04374337342183109
sesame	0.011488541921681078
sesameoil	0.011272826998177861
sesameseeds	0.011272826998177861
shrimp	0.016327262978579823
sichuancuisine	-0.008131716992811538
sichuanpeppercorns	-0.007987498638564931
sidedish	-0.01761808068475472
sidedishes	-0.07440163692796496
skewers	0.016327262978579823
smoky	0.101679113807005
snack	-0.022810082560084793
snacks	-0.1056930700691104
sobanoodles	0.060878942761689134
soft	0.023847895236854405
souffle	0.06459038731903255
soup	-0.04575121222881367
sourcream	0.015025131042052341
southern	-0.03831912893586047
southerncuisine	-0.029872803161105445
soysauce	-0.0002508150331447731
spam	0.00751452647629406
spices	-0.019204647877006403
spicy	0.03010021270943096
spicyfood	-0.0025987787107746153
spinach	-0.001414080909912452
spring	-0.009126769708612273
steamed	-0.022541929230560843
stirfry	-0.00014421835424660836
strawberry	-0.0010806266360279132
streetfood	-0.028833608669955636
stuffedpeppers	-0.0025987787107746153
summer	-0.20169590970864096
sushi	0.0017526184499268376
sweet	0.02177139755307679
sweetandsalty	-0.05078132280321416
sweetandsavory	0.017771853572528997
sweettreat	0.03098264095668814
taco	-0.016520150754587664
tacos	-0.03573024619192305
tangy	0.007705073973300765
tart	0.004392850304664339
tea	-0.006459705328148245
tempura	0.11801128510947272
tender	0.01867696285468288
texmex	0.049782723308141645
thanksgiving	0.008785700609328678
toast	0.014550812314616475
tomato	-0.016995130958051215
tomatoes	-0.018848261396683143
tomatosauce	0.021641726370893424
tortilla	-0.044712123019522106
tortillabowl	-0.016520150754587664
tortillachips	0.017690495500872094
tortillas	0.050889105803327866
traditional	-0.022541929230560843
twisted	-0.0013523650232137709
udonnoodles	0.11801128510947272
vanilla	-0.029460121371239437
vanillaicecream	-0.048652621224993524
vegan	-0.026225591318191986
vegetables	-0.0007666198953768244
vegetarian	-0.014270610429067902
warm	0.037442346284836385
whippedcream	-0.048652621224993524
winter	-0.006446846164419942
yeastdough	-0.0013523650232137709
